title,exists,page_id,size_bytes,total_views_30days,average_daily_views,total_contributors,total_edits,category_count,references_count,last_revision_id,last_edit_timestamp,days_since_last_edit,is_protected,categories,error,all_categories,timestamp
Natural selection,True,21147,110665,53063,1768.77,995,5402,22,137,1281071580,2025-03-18T03:01:18Z,7,True,"Articles with Internet Archive links,Articles with short description,Biological interactions,CS1: long volume value,CS1 French-language sources (fr),CS1 interwiki-linked names,Charles Darwin,Competition,Ecological processes,Ethology,Evolution,Evolutionary biology,Good articles,Natural selection,Selection,Sexual selection,Short description is different from Wikidata,Use British English from January 2015,Use dmy dates from February 2024,Webarchive template wayback links,Wikipedia indefinitely move-protected pages,Wikipedia indefinitely semi-protected pages",,"[""Articles with Internet Archive links"", ""Articles with short description"", ""Biological interactions"", ""CS1: long volume value"", ""CS1 French-language sources (fr)"", ""CS1 interwiki-linked names"", ""Charles Darwin"", ""Competition"", ""Ecological processes"", ""Ethology"", ""Evolution"", ""Evolutionary biology"", ""Good articles"", ""Natural selection"", ""Selection"", ""Sexual selection"", ""Short description is different from Wikidata"", ""Use British English from January 2015"", ""Use dmy dates from February 2024"", ""Webarchive template wayback links"", ""Wikipedia indefinitely move-protected pages"", ""Wikipedia indefinitely semi-protected pages""]",2025-03-25 21:21:10
Microprocessor,True,19553,84903,27092,903.07,829,3677,25,74,1281363251,2025-03-19T22:48:47Z,5,False,"1971 introductions,All accuracy disputes,All articles lacking reliable references,All articles needing additional references,All articles with unsourced statements,American inventions,Articles lacking reliable references from August 2019,Articles lacking reliable references from March 2010,Articles needing additional references from June 2011,Articles with disputed statements from November 2016,Articles with short description,Articles with unsourced statements from April 2011,Articles with unsourced statements from June 2013,Articles with unsourced statements from March 2014,CS1 errors: missing periodical,CS1 maint: location,Commons category link is locally defined,Digital electronics,EngvarB from June 2022,Japanese inventions,Microcomputers,Microprocessors,Short description matches Wikidata,Use dmy dates from June 2022,Webarchive template wayback links",,"[""1971 introductions"", ""All accuracy disputes"", ""All articles lacking reliable references"", ""All articles needing additional references"", ""All articles with unsourced statements"", ""American inventions"", ""Articles lacking reliable references from August 2019"", ""Articles lacking reliable references from March 2010"", ""Articles needing additional references from June 2011"", ""Articles with disputed statements from November 2016"", ""Articles with short description"", ""Articles with unsourced statements from April 2011"", ""Articles with unsourced statements from June 2013"", ""Articles with unsourced statements from March 2014"", ""CS1 errors: missing periodical"", ""CS1 maint: location"", ""Commons category link is locally defined"", ""Digital electronics"", ""EngvarB from June 2022"", ""Japanese inventions"", ""Microcomputers"", ""Microprocessors"", ""Short description matches Wikidata"", ""Use dmy dates from June 2022"", ""Webarchive template wayback links""]",2025-03-25 21:21:10
Coffee,True,604727,136178,100673,3355.77,2705,12249,36,203,1281340968,2025-03-19T19:59:07Z,6,True,"All Wikipedia articles written in American English,All articles with dead external links,Articles containing Arabic-language text,Articles containing Dutch-language text,Articles containing German-language text,Articles containing Greek-language text,Articles containing Hebrew-language text,Articles containing Latin-language text,Articles containing Ottoman Turkish (1500-1928)-language text,Articles containing Turkish-language text,Articles with dead external links from October 2023,Articles with hProducts,Articles with hRecipes,Articles with permanently dead external links,Articles with short description,Articles with text in Cushitic languages,Articles with text in Semitic languages,CS1: long volume value,CS1 French-language sources (fr),CS1 Italian-language sources (it),CS1 Latin-language sources (la),Coffee,Commons category link from Wikidata,Crops,Drinks,Herbal and fungal stimulants,Hot drinks,Non-alcoholic drinks,Pages using multiple image with auto scaled images,Short description is different from Wikidata,Use American English from September 2022,Use dmy dates from September 2022,Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference,Wikipedia indefinitely move-protected pages,Wikipedia indefinitely semi-protected pages,Yemeni beverages",,"[""All Wikipedia articles written in American English"", ""All articles with dead external links"", ""Articles containing Arabic-language text"", ""Articles containing Dutch-language text"", ""Articles containing German-language text"", ""Articles containing Greek-language text"", ""Articles containing Hebrew-language text"", ""Articles containing Latin-language text"", ""Articles containing Ottoman Turkish (1500-1928)-language text"", ""Articles containing Turkish-language text"", ""Articles with dead external links from October 2023"", ""Articles with hProducts"", ""Articles with hRecipes"", ""Articles with permanently dead external links"", ""Articles with short description"", ""Articles with text in Cushitic languages"", ""Articles with text in Semitic languages"", ""CS1: long volume value"", ""CS1 French-language sources (fr)"", ""CS1 Italian-language sources (it)"", ""CS1 Latin-language sources (la)"", ""Coffee"", ""Commons category link from Wikidata"", ""Crops"", ""Drinks"", ""Herbal and fungal stimulants"", ""Hot drinks"", ""Non-alcoholic drinks"", ""Pages using multiple image with auto scaled images"", ""Short description is different from Wikidata"", ""Use American English from September 2022"", ""Use dmy dates from September 2022"", ""Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference"", ""Wikipedia indefinitely move-protected pages"", ""Wikipedia indefinitely semi-protected pages"", ""Yemeni beverages""]",2025-03-25 21:21:10
Taylor Swift,True,5422144,368482,601111,20037.03,3086,19755,93,618,1281953043,2025-03-23T13:47:47Z,2,True,"1989 births,21st-century American actresses,21st-century American philanthropists,21st-century American songwriters,21st-century American women guitarists,21st-century American women philanthropists,21st-century American women pianists,21st-century American women singers,Actresses from Nashville, Tennessee,Actresses from Pennsylvania,All Wikipedia articles written in American English,American acoustic guitarists,American billionaires,American country banjoists,American country guitarists,American country pianists,American country record producers,American country singer-songwriters,American feminist musicians,American film actresses,American folk guitarists,American folk musicians,American folk singers,American mezzo-sopranos,American multi-instrumentalists,American music video directors,American people of English descent,American people of German descent,American people of Italian descent,American people of Scottish descent,American pop guitarists,American pop pianists,American synth-pop singers,American television actresses,American voice actresses,American women company founders,American women country singers,American women guitarists,American women pop singers,American women record producers,American women rock singers,American women singer-songwriters,American women songwriters,Articles with MusicBrainz artist links,Articles with hAudio microformats,Articles with hCards,Articles with short description,Baldi family,Big Machine Records artists,Biography with signature,Brit Award winners,CS1 Brazilian Portuguese-language sources (pt-br),CS1 German-language sources (de),CS1 Italian-language sources (it),CS1 Portuguese-language sources (pt),Christians from Tennessee,Country musicians from Pennsylvania,Country musicians from Tennessee,Country pop musicians,Featured articles,Female billionaires,Female music video directors,Film directors from Pennsylvania,Film directors from Tennessee,Grammy Award winners,Guitarists from Pennsylvania,Guitarists from Tennessee,Living people,MTV Europe Music Award winners,MTV Video Music Award winners,MusicBrainz artist same as Wikidata,NME Awards winners,Pages using Sister project links with hidden wikidata,People from Bucks County, Pennsylvania,Philanthropists from Pennsylvania,Philanthropists from Tennessee,Primetime Emmy Award winners,RCA Records artists,Record producers from Pennsylvania,Record producers from Tennessee,Republic Records artists,Short description is different from Wikidata,Short description matches Wikidata,Singer-songwriters from Pennsylvania,Singer-songwriters from Tennessee,Singers from Nashville, Tennessee,Sony Music Publishing artists,Taylor Swift,Time Person of the Year,Universal Music Group artists,Use American English from March 2024,Use mdy dates from March 2024,Wikipedia extended-confirmed-protected pages",,"[""1989 births"", ""21st-century American actresses"", ""21st-century American philanthropists"", ""21st-century American songwriters"", ""21st-century American women guitarists"", ""21st-century American women philanthropists"", ""21st-century American women pianists"", ""21st-century American women singers"", ""Actresses from Nashville, Tennessee"", ""Actresses from Pennsylvania"", ""All Wikipedia articles written in American English"", ""American acoustic guitarists"", ""American billionaires"", ""American country banjoists"", ""American country guitarists"", ""American country pianists"", ""American country record producers"", ""American country singer-songwriters"", ""American feminist musicians"", ""American film actresses"", ""American folk guitarists"", ""American folk musicians"", ""American folk singers"", ""American mezzo-sopranos"", ""American multi-instrumentalists"", ""American music video directors"", ""American people of English descent"", ""American people of German descent"", ""American people of Italian descent"", ""American people of Scottish descent"", ""American pop guitarists"", ""American pop pianists"", ""American synth-pop singers"", ""American television actresses"", ""American voice actresses"", ""American women company founders"", ""American women country singers"", ""American women guitarists"", ""American women pop singers"", ""American women record producers"", ""American women rock singers"", ""American women singer-songwriters"", ""American women songwriters"", ""Articles with MusicBrainz artist links"", ""Articles with hAudio microformats"", ""Articles with hCards"", ""Articles with short description"", ""Baldi family"", ""Big Machine Records artists"", ""Biography with signature"", ""Brit Award winners"", ""CS1 Brazilian Portuguese-language sources (pt-br)"", ""CS1 German-language sources (de)"", ""CS1 Italian-language sources (it)"", ""CS1 Portuguese-language sources (pt)"", ""Christians from Tennessee"", ""Country musicians from Pennsylvania"", ""Country musicians from Tennessee"", ""Country pop musicians"", ""Featured articles"", ""Female billionaires"", ""Female music video directors"", ""Film directors from Pennsylvania"", ""Film directors from Tennessee"", ""Grammy Award winners"", ""Guitarists from Pennsylvania"", ""Guitarists from Tennessee"", ""Living people"", ""MTV Europe Music Award winners"", ""MTV Video Music Award winners"", ""MusicBrainz artist same as Wikidata"", ""NME Awards winners"", ""Pages using Sister project links with hidden wikidata"", ""People from Bucks County, Pennsylvania"", ""Philanthropists from Pennsylvania"", ""Philanthropists from Tennessee"", ""Primetime Emmy Award winners"", ""RCA Records artists"", ""Record producers from Pennsylvania"", ""Record producers from Tennessee"", ""Republic Records artists"", ""Short description is different from Wikidata"", ""Short description matches Wikidata"", ""Singer-songwriters from Pennsylvania"", ""Singer-songwriters from Tennessee"", ""Singers from Nashville, Tennessee"", ""Sony Music Publishing artists"", ""Taylor Swift"", ""Time Person of the Year"", ""Universal Music Group artists"", ""Use American English from March 2024"", ""Use mdy dates from March 2024"", ""Wikipedia extended-confirmed-protected pages""]",2025-03-25 21:21:11
New York City,True,645042,378231,700930,23364.33,3937,26162,42,617,1282195929,2025-03-24T23:05:23Z,0,True,"1624 establishments in North America,1624 establishments in the Dutch Empire,1898 establishments in New York (state),1898 establishments in New York City,All Wikipedia articles written in American English,All articles containing potentially dated statements,Articles containing Dutch-language text,Articles containing Spanish-language text,Articles containing potentially dated statements from 2004,Articles containing potentially dated statements from 2011,Articles containing potentially dated statements from 2019,Articles containing potentially dated statements from 2020,Articles containing potentially dated statements from 2021,Articles containing potentially dated statements from 2022,Articles containing potentially dated statements from 2023,Articles with short description,Cities in New York (state),Cities in the New York metropolitan area,Coordinates on Wikidata,Establishments in New Netherland,Former capitals of the United States,Former state capitals in the United States,New York (state) populated places on the Hudson River,New York City,Pages using div col with small parameter,Pages using gadget WikiMiniAtlas,Pages using multiple image with auto scaled images,Pages using the Kartographer extension,Pages with broken reference names,Pages with plain IPA,Pages with reference errors,Populated coastal places in New York (state),Populated places established by the Dutch West India Company,Populated places established in 1624,Populated places established in 1898,Port cities and towns of the United States Atlantic coast,Short description is different from Wikidata,Short description matches Wikidata,Use American English from August 2022,Use mdy dates from February 2023,Webarchive template wayback links,Wikipedia indefinitely semi-protected pages",,"[""1624 establishments in North America"", ""1624 establishments in the Dutch Empire"", ""1898 establishments in New York (state)"", ""1898 establishments in New York City"", ""All Wikipedia articles written in American English"", ""All articles containing potentially dated statements"", ""Articles containing Dutch-language text"", ""Articles containing Spanish-language text"", ""Articles containing potentially dated statements from 2004"", ""Articles containing potentially dated statements from 2011"", ""Articles containing potentially dated statements from 2019"", ""Articles containing potentially dated statements from 2020"", ""Articles containing potentially dated statements from 2021"", ""Articles containing potentially dated statements from 2022"", ""Articles containing potentially dated statements from 2023"", ""Articles with short description"", ""Cities in New York (state)"", ""Cities in the New York metropolitan area"", ""Coordinates on Wikidata"", ""Establishments in New Netherland"", ""Former capitals of the United States"", ""Former state capitals in the United States"", ""New York (state) populated places on the Hudson River"", ""New York City"", ""Pages using div col with small parameter"", ""Pages using gadget WikiMiniAtlas"", ""Pages using multiple image with auto scaled images"", ""Pages using the Kartographer extension"", ""Pages with broken reference names"", ""Pages with plain IPA"", ""Pages with reference errors"", ""Populated coastal places in New York (state)"", ""Populated places established by the Dutch West India Company"", ""Populated places established in 1624"", ""Populated places established in 1898"", ""Port cities and towns of the United States Atlantic coast"", ""Short description is different from Wikidata"", ""Short description matches Wikidata"", ""Use American English from August 2022"", ""Use mdy dates from February 2023"", ""Webarchive template wayback links"", ""Wikipedia indefinitely semi-protected pages""]",2025-03-25 21:21:11
COVID-19 pandemic,True,62750956,376123,293280,9776.0,3214,26758,51,677,1279302243,2025-03-07T18:51:40Z,18,True,"2010s epidemics,2019 disasters in China,2019 disease outbreaks,2019 in international relations,2020 disease outbreaks,2020 in international relations,2020s epidemics,2020s in economic history,2021 disease outbreaks,2021 in international relations,2022 disease outbreaks,2022 in international relations,2023 disease outbreaks,2023 in international relations,21st century in health,All articles containing potentially dated statements,Articles containing Italian-language text,Articles containing potentially dated statements from April 2022,Articles containing potentially dated statements from September 2024,Articles containing video clips,Articles with short description,Atypical pneumonias,COVID-19 pandemic,CS1 Brazilian Portuguese-language sources (pt-br),CS1 Chinese-language sources (zh),CS1 Chinese (China)-language sources (zh-cn),CS1 Italian-language sources (it),CS1 Korean-language sources (ko),CS1 Portuguese-language sources (pt),CS1 Spanish-language sources (es),CS1 Swedish-language sources (sv),CS1 maint: DOI inactive as of November 2024,CS1 uses Chinese-language script (zh),CS1 uses Korean-language script (ko),December 2019 in China,February 2020 in China,Good articles,Health disasters in China,History of Wuhan,January 2020 in China,March 2020 in China,Occupational safety and health,Pages using gadget WikiMiniAtlas,Pandemics,Public health emergencies of international concern,Short description matches Wikidata,Use British English from November 2024,Use dmy dates from November 2024,Webarchive template wayback links,Wikipedia extended-confirmed-protected pages,Wikipedia indefinitely move-protected pages",,"[""2010s epidemics"", ""2019 disasters in China"", ""2019 disease outbreaks"", ""2019 in international relations"", ""2020 disease outbreaks"", ""2020 in international relations"", ""2020s epidemics"", ""2020s in economic history"", ""2021 disease outbreaks"", ""2021 in international relations"", ""2022 disease outbreaks"", ""2022 in international relations"", ""2023 disease outbreaks"", ""2023 in international relations"", ""21st century in health"", ""All articles containing potentially dated statements"", ""Articles containing Italian-language text"", ""Articles containing potentially dated statements from April 2022"", ""Articles containing potentially dated statements from September 2024"", ""Articles containing video clips"", ""Articles with short description"", ""Atypical pneumonias"", ""COVID-19 pandemic"", ""CS1 Brazilian Portuguese-language sources (pt-br)"", ""CS1 Chinese-language sources (zh)"", ""CS1 Chinese (China)-language sources (zh-cn)"", ""CS1 Italian-language sources (it)"", ""CS1 Korean-language sources (ko)"", ""CS1 Portuguese-language sources (pt)"", ""CS1 Spanish-language sources (es)"", ""CS1 Swedish-language sources (sv)"", ""CS1 maint: DOI inactive as of November 2024"", ""CS1 uses Chinese-language script (zh)"", ""CS1 uses Korean-language script (ko)"", ""December 2019 in China"", ""February 2020 in China"", ""Good articles"", ""Health disasters in China"", ""History of Wuhan"", ""January 2020 in China"", ""March 2020 in China"", ""Occupational safety and health"", ""Pages using gadget WikiMiniAtlas"", ""Pandemics"", ""Public health emergencies of international concern"", ""Short description matches Wikidata"", ""Use British English from November 2024"", ""Use dmy dates from November 2024"", ""Webarchive template wayback links"", ""Wikipedia extended-confirmed-protected pages"", ""Wikipedia indefinitely move-protected pages""]",2025-03-25 21:21:11
World Wide Web,True,33139,105608,195329,6510.97,2088,8917,40,123,1282232370,2025-03-25T04:38:50Z,0,True,"20th-century inventions,All accuracy disputes,All articles containing potentially dated statements,All articles lacking reliable references,All articles needing additional references,All articles with unsourced statements,All articles with vague or ambiguous time,Articles containing Chinese-language text,Articles containing potentially dated statements from 1997,Articles lacking reliable references from August 2022,Articles lacking reliable references from November 2016,Articles needing additional references from August 2023,Articles with disputed statements from July 2019,Articles with short description,Articles with unsourced statements from August 2022,Articles with unsourced statements from March 2021,British inventions,CERN,CS1 errors: bare URL,CS1 errors: missing title,CS1 maint: numeric names: authors list,Commons category link is on Wikidata,Computer-related introductions in 1989,English inventions,Human–computer interaction,Information Age,Pages using multiple image with auto scaled images,Search engine optimization,Search engine software,Short description is different from Wikidata,Tim Berners-Lee,Use British English from May 2024,Use dmy dates from May 2024,Vague or ambiguous time from September 2023,Web technology,Webarchive template wayback links,Wikipedia articles needing page number citations from September 2016,Wikipedia indefinitely move-protected pages,Wikipedia semi-protected pages,World Wide Web",,"[""20th-century inventions"", ""All accuracy disputes"", ""All articles containing potentially dated statements"", ""All articles lacking reliable references"", ""All articles needing additional references"", ""All articles with unsourced statements"", ""All articles with vague or ambiguous time"", ""Articles containing Chinese-language text"", ""Articles containing potentially dated statements from 1997"", ""Articles lacking reliable references from August 2022"", ""Articles lacking reliable references from November 2016"", ""Articles needing additional references from August 2023"", ""Articles with disputed statements from July 2019"", ""Articles with short description"", ""Articles with unsourced statements from August 2022"", ""Articles with unsourced statements from March 2021"", ""British inventions"", ""CERN"", ""CS1 errors: bare URL"", ""CS1 errors: missing title"", ""CS1 maint: numeric names: authors list"", ""Commons category link is on Wikidata"", ""Computer-related introductions in 1989"", ""English inventions"", ""Human\u2013computer interaction"", ""Information Age"", ""Pages using multiple image with auto scaled images"", ""Search engine optimization"", ""Search engine software"", ""Short description is different from Wikidata"", ""Tim Berners-Lee"", ""Use British English from May 2024"", ""Use dmy dates from May 2024"", ""Vague or ambiguous time from September 2023"", ""Web technology"", ""Webarchive template wayback links"", ""Wikipedia articles needing page number citations from September 2016"", ""Wikipedia indefinitely move-protected pages"", ""Wikipedia semi-protected pages"", ""World Wide Web""]",2025-03-25 21:21:12
Eiffel Tower,True,9232,89154,217874,7262.47,1787,6648,44,123,1282036871,2025-03-23T22:41:06Z,1,True,"1889 establishments in France,All articles with unsourced statements,Architectural controversies,Articles containing French-language text,Articles containing video clips,Articles with short description,Articles with unsourced statements from February 2024,Articles with unsourced statements from March 2021,Articles with unsourced statements from September 2024,Buildings and structures in the 7th arrondissement of Paris,CS1: unfit URL,CS1 French-language sources (fr),Coordinates on Wikidata,Eiffel Tower,Exposition Universelle (1889),Former world's tallest buildings,Historic Civil Engineering Landmarks,Infobox mapframe without OSM relation ID on Wikidata,Landmarks in France,Lattice towers,Michelin-starred restaurants in France,Monuments historiques of Paris,Observation towers in France,Olympic volleyball venues,Pages containing links to subscription-only content,Pages including recorded pronunciations,Pages using Sister project links with default search,Pages using Sister project links with hidden wikidata,Pages using gadget WikiMiniAtlas,Pages using the Kartographer extension,Pages using the Phonos extension,Pages with French IPA,Restaurant towers,Short description is different from Wikidata,Skyscrapers in Paris,Tourist attractions in Paris,Towers completed in 1889,Towers in Paris,Use British English from June 2022,Use dmy dates from March 2021,Venues of the 2024 Summer Olympics,Wikipedia indefinitely move-protected pages,Wikipedia indefinitely semi-protected pages,World's fair architecture in Paris",,"[""1889 establishments in France"", ""All articles with unsourced statements"", ""Architectural controversies"", ""Articles containing French-language text"", ""Articles containing video clips"", ""Articles with short description"", ""Articles with unsourced statements from February 2024"", ""Articles with unsourced statements from March 2021"", ""Articles with unsourced statements from September 2024"", ""Buildings and structures in the 7th arrondissement of Paris"", ""CS1: unfit URL"", ""CS1 French-language sources (fr)"", ""Coordinates on Wikidata"", ""Eiffel Tower"", ""Exposition Universelle (1889)"", ""Former world's tallest buildings"", ""Historic Civil Engineering Landmarks"", ""Infobox mapframe without OSM relation ID on Wikidata"", ""Landmarks in France"", ""Lattice towers"", ""Michelin-starred restaurants in France"", ""Monuments historiques of Paris"", ""Observation towers in France"", ""Olympic volleyball venues"", ""Pages containing links to subscription-only content"", ""Pages including recorded pronunciations"", ""Pages using Sister project links with default search"", ""Pages using Sister project links with hidden wikidata"", ""Pages using gadget WikiMiniAtlas"", ""Pages using the Kartographer extension"", ""Pages using the Phonos extension"", ""Pages with French IPA"", ""Restaurant towers"", ""Short description is different from Wikidata"", ""Skyscrapers in Paris"", ""Tourist attractions in Paris"", ""Towers completed in 1889"", ""Towers in Paris"", ""Use British English from June 2022"", ""Use dmy dates from March 2021"", ""Venues of the 2024 Summer Olympics"", ""Wikipedia indefinitely move-protected pages"", ""Wikipedia indefinitely semi-protected pages"", ""World's fair architecture in Paris""]",2025-03-25 21:21:12
The Beatles,True,29812,222667,509298,16976.6,4027,25298,46,510,1282265488,2025-03-25T11:13:29Z,0,True,"1960 establishments in England,1970 disestablishments in England,All articles containing potentially dated statements,Apple Corps,Apple Records artists,Articles containing explicitly cited American English-language text,Articles containing potentially dated statements from 2012,Articles containing potentially dated statements from 2017,Articles with hAudio microformats,Articles with hCards,Articles with short description,Atco Records artists,Beat groups,Brit Award winners,British Invasion artists,CS1 Russian-language sources (ru),CS1 Spanish-language sources (es),CS1 errors: generic name,Capitol Records artists,English musical quartets,English pop music groups,English psychedelic rock music groups,Featured articles,Grammy Lifetime Achievement Award winners,Musical groups disestablished in 1970,Musical groups established in 1960,Pages using Sister project links with hidden wikidata,Pages using Sister project links with wikidata namespace mismatch,Pages using multiple image with auto scaled images,Pages using the EasyTimeline extension,Parlophone artists,Proto-prog groups,Psychedelic pop music groups,Rock music groups from Liverpool,Short description is different from Wikidata,Spoken articles,Swan Records artists,The Beatles,United Artists Records artists,Use British English from October 2024,Use dmy dates from October 2024,Vee-Jay Records artists,Webarchive template wayback links,Wikipedia indefinitely semi-protected pages,World Music Awards winners,World record holders",,"[""1960 establishments in England"", ""1970 disestablishments in England"", ""All articles containing potentially dated statements"", ""Apple Corps"", ""Apple Records artists"", ""Articles containing explicitly cited American English-language text"", ""Articles containing potentially dated statements from 2012"", ""Articles containing potentially dated statements from 2017"", ""Articles with hAudio microformats"", ""Articles with hCards"", ""Articles with short description"", ""Atco Records artists"", ""Beat groups"", ""Brit Award winners"", ""British Invasion artists"", ""CS1 Russian-language sources (ru)"", ""CS1 Spanish-language sources (es)"", ""CS1 errors: generic name"", ""Capitol Records artists"", ""English musical quartets"", ""English pop music groups"", ""English psychedelic rock music groups"", ""Featured articles"", ""Grammy Lifetime Achievement Award winners"", ""Musical groups disestablished in 1970"", ""Musical groups established in 1960"", ""Pages using Sister project links with hidden wikidata"", ""Pages using Sister project links with wikidata namespace mismatch"", ""Pages using multiple image with auto scaled images"", ""Pages using the EasyTimeline extension"", ""Parlophone artists"", ""Proto-prog groups"", ""Psychedelic pop music groups"", ""Rock music groups from Liverpool"", ""Short description is different from Wikidata"", ""Spoken articles"", ""Swan Records artists"", ""The Beatles"", ""United Artists Records artists"", ""Use British English from October 2024"", ""Use dmy dates from October 2024"", ""Vee-Jay Records artists"", ""Webarchive template wayback links"", ""Wikipedia indefinitely semi-protected pages"", ""World Music Awards winners"", ""World record holders""]",2025-03-25 21:21:13
Apollo 11,True,662,191090,197746,6591.53,1712,7564,28,293,1280199226,2025-03-13T03:39:15Z,12,True,"1969 on the Moon,All Wikipedia articles written in American English,All articles containing potentially dated statements,Apollo 11,Apollo program missions,Articles containing potentially dated statements from 2018,Articles containing video clips,Articles with hAudio microformats,Articles with short description,Buzz Aldrin,CS1: long volume value,Crewed missions to the Moon,Featured articles,LQ12 quadrangle,Michael Collins (astronaut),Neil Armstrong,Pages using gadget WikiMiniAtlas,Pages using multiple image with auto scaled images,Short description is different from Wikidata,Soft landings on the Moon,Spacecraft launched by Saturn rockets,Spoken articles,Successful space missions,Use American English from July 2019,Use mdy dates from March 2025,Webarchive template wayback links,Wikipedia indefinitely move-protected pages,Wikipedia indefinitely semi-protected pages",,"[""1969 on the Moon"", ""All Wikipedia articles written in American English"", ""All articles containing potentially dated statements"", ""Apollo 11"", ""Apollo program missions"", ""Articles containing potentially dated statements from 2018"", ""Articles containing video clips"", ""Articles with hAudio microformats"", ""Articles with short description"", ""Buzz Aldrin"", ""CS1: long volume value"", ""Crewed missions to the Moon"", ""Featured articles"", ""LQ12 quadrangle"", ""Michael Collins (astronaut)"", ""Neil Armstrong"", ""Pages using gadget WikiMiniAtlas"", ""Pages using multiple image with auto scaled images"", ""Short description is different from Wikidata"", ""Soft landings on the Moon"", ""Spacecraft launched by Saturn rockets"", ""Spoken articles"", ""Successful space missions"", ""Use American English from July 2019"", ""Use mdy dates from March 2025"", ""Webarchive template wayback links"", ""Wikipedia indefinitely move-protected pages"", ""Wikipedia indefinitely semi-protected pages""]",2025-03-25 21:21:14
Great Barrier Reef,True,70983,123787,67095,2236.5,1117,5868,41,146,1282081780,2025-03-24T05:39:36Z,1,True,"All Wikipedia articles written in Australian English,All articles lacking reliable references,All articles needing additional references,All articles that may contain original research,All articles with dead external links,All articles with specifically marked weasel-worded phrases,All articles with unsourced statements,Articles lacking reliable references from October 2016,Articles needing additional references from March 2013,Articles that may contain original research from September 2017,Articles with Project Gutenberg links,Articles with dead external links from January 2023,Articles with dead external links from May 2017,Articles with multiple maintenance issues,Articles with permanently dead external links,Articles with short description,Articles with specifically marked weasel-worded phrases from September 2024,Articles with unsourced statements from December 2017,Articles with unsourced statements from September 2024,Australian National Heritage List,CS1 maint: multiple names: authors list,Central Indo-Pacific,Commons category link is on Wikidata,Coordinates on Wikidata,Great Barrier Reef,Landforms of the Coral Sea,Marine ecoregions,Pages using gadget WikiMiniAtlas,Physiographic provinces,Q150 Icons,Reefs of Australia,Short description is different from Wikidata,Tourist attractions in Queensland,Underwater diving sites in Australia,Use Australian English from November 2015,Use dmy dates from June 2020,Webarchive template wayback links,Wikipedia articles needing clarification from September 2024,Wikipedia articles needing reorganization from July 2024,Wikipedia indefinitely semi-protected pages,World Heritage Sites in Australia",,"[""All Wikipedia articles written in Australian English"", ""All articles lacking reliable references"", ""All articles needing additional references"", ""All articles that may contain original research"", ""All articles with dead external links"", ""All articles with specifically marked weasel-worded phrases"", ""All articles with unsourced statements"", ""Articles lacking reliable references from October 2016"", ""Articles needing additional references from March 2013"", ""Articles that may contain original research from September 2017"", ""Articles with Project Gutenberg links"", ""Articles with dead external links from January 2023"", ""Articles with dead external links from May 2017"", ""Articles with multiple maintenance issues"", ""Articles with permanently dead external links"", ""Articles with short description"", ""Articles with specifically marked weasel-worded phrases from September 2024"", ""Articles with unsourced statements from December 2017"", ""Articles with unsourced statements from September 2024"", ""Australian National Heritage List"", ""CS1 maint: multiple names: authors list"", ""Central Indo-Pacific"", ""Commons category link is on Wikidata"", ""Coordinates on Wikidata"", ""Great Barrier Reef"", ""Landforms of the Coral Sea"", ""Marine ecoregions"", ""Pages using gadget WikiMiniAtlas"", ""Physiographic provinces"", ""Q150 Icons"", ""Reefs of Australia"", ""Short description is different from Wikidata"", ""Tourist attractions in Queensland"", ""Underwater diving sites in Australia"", ""Use Australian English from November 2015"", ""Use dmy dates from June 2020"", ""Webarchive template wayback links"", ""Wikipedia articles needing clarification from September 2024"", ""Wikipedia articles needing reorganization from July 2024"", ""Wikipedia indefinitely semi-protected pages"", ""World Heritage Sites in Australia""]",2025-03-25 21:21:15
